GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
alura-flix-api,com.alura.aluraflixapi.domain.category.dto,CategoryDto,0,15,0,0,0,1,0,1,0,1
alura-flix-api,com.alura.aluraflixapi.infraestructure.exception,CategoryTransactionException,5,0,0,0,2,0,1,0,1,0
alura-flix-api,com.alura.aluraflixapi.infraestructure.springdoc,SpringdocConfiguration,46,0,0,0,13,0,2,0,2,0
alura-flix-api,com.alura.aluraflixapi.controller,ControllerAdvice,15,3,0,0,3,1,2,1,2,1
alura-flix-api,com.alura.aluraflixapi.controller,CategoryController,85,4,2,0,21,1,7,1,6,1
alura-flix-api,com.alura.aluraflixapi.controller,AuthenticationController,44,4,0,0,12,1,2,1,2,1
alura-flix-api,com.alura.aluraflixapi.controller,UserController,29,4,0,0,7,1,3,1,3,1
alura-flix-api,com.alura.aluraflixapi.controller,VideoController,29,119,3,1,6,26,4,8,2,8
alura-flix-api,com.alura.aluraflixapi.domain.user.roles,RolesEnum,27,0,0,0,5,0,1,0,1,0
alura-flix-api,com.alura.aluraflixapi.domain.user.roles,Roles.RolesBuilder,27,0,0,0,1,0,5,0,5,0
alura-flix-api,com.alura.aluraflixapi.domain.user.roles,Roles,34,0,0,0,7,0,8,0,8,0
alura-flix-api,com.alura.aluraflixapi.domain.user.roles,RoleEnum,15,0,0,0,3,0,1,0,1,0
alura-flix-api,com.alura.aluraflixapi.domain.category,Rating,3,77,0,0,1,14,1,4,1,4
alura-flix-api,com.alura.aluraflixapi.domain.category,Category,116,88,34,4,1,8,25,8,6,8
alura-flix-api,com.alura.aluraflixapi.domain.category,Category.CategoryBuilder,10,35,0,0,0,1,1,6,1,6
alura-flix-api,com.alura.aluraflixapi.infraestructure.mapper,CategoryMapperImpl,4,62,2,2,2,19,2,3,0,3
alura-flix-api,com.alura.aluraflixapi.infraestructure.mapper,UserMapper,6,0,0,0,1,0,1,0,1,0
alura-flix-api,com.alura.aluraflixapi.infraestructure.mapper,VideoMapperImpl,147,69,10,2,42,20,10,3,4,3
alura-flix-api,com.alura.aluraflixapi.infraestructure.mapper,UserMapperImpl,111,0,12,0,32,0,10,0,4,0
alura-flix-api,com.alura.aluraflixapi.infraestructure.security,TokenService,69,4,0,0,24,1,4,1,4,1
alura-flix-api,com.alura.aluraflixapi.infraestructure.security,SecurityConfigurations,62,0,0,0,12,0,6,0,6,0
alura-flix-api,com.alura.aluraflixapi.infraestructure.security,SecurityFilter,39,38,1,1,7,13,2,4,1,4
alura-flix-api,com.alura.aluraflixapi.domain.user,User.UserBuilder,45,0,0,0,1,0,7,0,7,0
alura-flix-api,com.alura.aluraflixapi.domain.user,User,122,0,14,0,14,0,26,0,19,0
alura-flix-api,com.alura.aluraflixapi.domain.user.dto,AuthenticationDto,9,0,0,0,1,0,1,0,1,0
alura-flix-api,com.alura.aluraflixapi.domain.user.dto,UserDto,15,0,0,0,1,0,1,0,1,0
alura-flix-api,com.alura.aluraflixapi.infraestructure.service,UserDetailsServiceImpl,20,0,0,0,6,0,3,0,3,0
alura-flix-api,com.alura.aluraflixapi.infraestructure.service,VideoServiceImpl,166,4,2,0,42,1,9,1,8,1
alura-flix-api,com.alura.aluraflixapi.infraestructure.service,CategoryServiceImpl,16,103,0,0,6,26,0,9,0,9
alura-flix-api,com.alura.aluraflixapi.infraestructure.service,UserServiceImpl,43,0,0,0,11,0,3,0,3,0
alura-flix-api,com.alura.aluraflixapi.domain.video,Video,20,40,0,0,1,8,5,8,5,8
alura-flix-api,com.alura.aluraflixapi.domain.video,Video.VideoBuilder,12,42,0,0,0,1,1,7,1,7
alura-flix-api,com.alura.aluraflixapi.domain.video.dto,VideoDto.VideoDtoBuilder,12,42,0,0,0,1,1,7,1,7
alura-flix-api,com.alura.aluraflixapi.domain.video.dto,UpdateVideoDto,13,18,0,0,2,1,1,1,1,1
alura-flix-api,com.alura.aluraflixapi.domain.video.dto,VideoDto,0,22,0,0,0,2,0,2,0,2
alura-flix-api,com.alura.aluraflixapi.infraestructure.security.dto,TokenJwtDto,6,0,0,0,1,0,1,0,1,0
alura-flix-api,com.alura.aluraflixapi.controller.dto,ErrorDto,16,0,0,0,3,0,2,0,2,0
alura-flix-api,com.alura.aluraflixapi,AluraFlixApiApplication,5,3,0,0,2,1,1,1,1,1
